,summary,duration,start
0,Haircut,0 days 01:00:00.000000000,2020-07-04T05:00:00+00:00
1,Social - Tal Abib,0 days 02:00:00.000000000,2020-01-13T02:00:00+00:00
2,Learn - Power and Politics,0 days 01:00:00.000000000,2020-10-02T05:00:00+00:00
3,Shiran - Lunch @ Park + Coffee,0 days 04:00:00.000000000,2020-02-17T00:00:00+00:00
4,Social - Mati - Hike,0 days 05:00:00.000000000,2020-03-29T20:00:00+00:00
5,Social - David Pervan,0 days 02:00:00.000000000,2020-03-09T00:00:00+00:00
6,Cleanup - email,0 days 01:00:00.000000000,2020-04-19T19:00:00+00:00
7,Haircut,0 days 01:00:00.000000000,2020-01-06T10:00:00+00:00
8,Cleanup - email,0 days 01:00:00.000000000,2020-10-06T03:00:00+00:00
9,What course,0 days 01:00:00.000000000,2020-05-12T05:00:00+00:00
10,Cleanup - email,0 days 01:00:00.000000000,2020-03-29T19:00:00+00:00
11,Social - Mati - Shasta Lake,2 days 00:00:00.000000000,2020-05-23T00:00:00+00:00
12,Code - Problem Solving,0 days 01:00:00.000000000,2020-05-03T18:00:00+00:00
13,Social - Elior,0 days 03:00:00.000000000,2020-11-14T22:00:00+00:00
14,Code - Problem Solving,0 days 01:00:00.000000000,2020-06-21T18:30:00+00:00
15,Shiran - Anniversary,0 days 02:00:00.000000000,2020-11-03T05:00:00+00:00
16,Code - Text2Vid,0 days 03:00:00.000000000,2020-06-30T03:00:00+00:00
17,Social - Mati - Movie night,0 days 03:00:00.000000000,2020-02-21T04:00:00+00:00
18,Taxes,0 days 02:00:00.000000000,2020-03-01T18:00:00+00:00
19,.,1 days 00:00:00.000000000,2020-10-24T00:00:00+00:00
20,Social - Cambria,0 days 02:00:00.000000000,2020-02-02T08:00:00+00:00
21,ML - Deepmoney - Preprocessing,0 days 03:00:00.000000000,2020-04-14T03:00:00+00:00
22,Plan - Week,0 days 01:00:00.000000000,2020-12-13T20:00:00+00:00
23,Analyze - GDP vs S&P 500,0 days 02:00:00.000000000,2020-10-26T03:00:00+00:00
24,Code - Interview - Preparation,0 days 03:00:00.000000000,2020-03-30T03:00:00+00:00
25,Social - Gal,0 days 04:00:00.000000000,2020-05-31T22:30:00+00:00
26,Shiran - Beach,0 days 04:00:00.000000000,2020-06-07T22:00:00+00:00
27,Learn - Power and Politics,0 days 01:00:00.000000000,2020-10-13T03:00:00+00:00
28,ML - Interview,0 days 01:00:00.000000000,2020-02-27T06:00:00+00:00
29,Analyze - Habit,0 days 01:00:00.000000000,2020-01-07T08:00:00+00:00
30,Postnup,0 days 00:30:00.000000000,2020-11-13T05:00:00+00:00
31,"Social - Yoni, Anna",0 days 03:00:00.000000000,2020-12-12T05:00:00+00:00
32,Code - Problem solving - Advents,0 days 02:00:00.000000000,2020-01-01T08:00:00+00:00
33,Cleanup - email,0 days 01:00:00.000000000,2020-09-27T18:00:00+00:00
34,Code - Problem Solving,0 days 01:00:00.000000000,2020-04-05T18:30:00+00:00
35,Social - Family - beach,0 days 04:00:00.000000000,2020-07-26T14:00:00+00:00
36,Social - Liad,0 days 02:00:00.000000000,2020-04-20T02:00:00+00:00
37,Social - Family,0 days 05:00:00.000000000,2020-07-25T16:00:00+00:00
38,Shiran - Beach,0 days 03:00:00.000000000,2020-07-30T07:00:00+00:00
39,Code - Text2Vid,0 days 01:00:00.000000000,2020-06-03T03:00:00+00:00
40,Game developement - Unity,0 days 03:00:00.000000000,2020-05-17T02:00:00+00:00
41,הסכם ממון,0 days 01:00:00.000000000,2020-11-19T05:00:00+00:00
42,Cleanup - email,0 days 01:00:00.000000000,2020-06-09T04:00:00+00:00
43,"Social - Eyal, Daniel, Ziv, Guy",0 days 05:00:00.000000000,2020-08-01T16:00:00+00:00
44,Code - Leetcode - Analyze,0 days 01:00:00.000000000,2020-04-19T22:00:00+00:00
45,Shiran - KISS concert,0 days 03:30:00.000000000,2020-03-07T04:30:00+00:00
46,Read - Sella's Book,0 days 01:00:00.000000000,2020-05-20T04:00:00+00:00
47,Social - Mati,0 days 04:00:00.000000000,2020-06-13T03:00:00+00:00
48,Code - Interview - Preparation - System Design,0 days 03:00:00.000000000,2020-03-25T03:00:00+00:00
49,Analyze - IQ by country,0 days 02:00:00.000000000,2020-01-19T21:00:00+00:00
50,Social - Sella,0 days 03:00:00.000000000,2020-01-18T05:00:00+00:00
51,Analyze - Free Will,0 days 01:00:00.000000000,2020-05-13T05:00:00+00:00
52,Send contract to lawyer,0 days 00:30:00.000000000,2020-01-17T17:00:00+00:00
53,Social - Valansi,0 days 04:00:00.000000000,2020-01-11T11:00:00+00:00
54,Flight  UA954 SFO to TLV,0 days 13:55:00.000000000,2020-07-09T02:00:00+00:00
55,Social - Sella,0 days 02:00:00.000000000,2020-01-23T04:30:00+00:00
56,Real Estate - New lease + cleaning,0 days 03:00:00.000000000,2020-10-21T03:00:00+00:00
57,Umbrella insurance ,0 days 01:00:00.000000000,2020-10-06T04:00:00+00:00
58,Call - HSBC ,0 days 00:30:00.000000000,2020-01-17T16:30:00+00:00
59,Social - Limor - wedding,0 days 06:00:00.000000000,2020-07-24T15:00:00+00:00
60,Code - Problem Solving,0 days 02:00:00.000000000,2020-12-17T05:00:00+00:00
61,Social - Mati,0 days 03:00:00.000000000,2020-05-10T01:00:00+00:00
62,Shiran - Beach,0 days 03:00:00.000000000,2020-07-04T23:00:00+00:00
63,Code - System design,0 days 02:00:00.000000000,2020-02-20T04:00:00+00:00
64,What to do,0 days 01:00:00.000000000,2020-04-08T05:00:00+00:00
65,What to do,0 days 01:00:00.000000000,2020-04-07T05:00:00+00:00
66,Learn - Power and Politics,0 days 02:00:00.000000000,2020-09-23T04:00:00+00:00
67,Real Estate - Sign Contract,0 days 02:15:00.000000000,2020-01-24T04:15:00+00:00
68,Social - Sella - Hike,0 days 05:00:00.000000000,2020-05-09T20:00:00+00:00
69,Learn - Unity,0 days 03:00:00.000000000,2020-04-11T20:00:00+00:00
70,Shiran - Movie,0 days 02:00:00.000000000,2020-06-15T04:00:00+00:00
71,Kicking off 2020 at Microsoft Reactor,0 days 02:00:00.000000000,2020-01-31T02:00:00+00:00
72,Social - Mati - Dinner,0 days 02:00:00.000000000,2020-02-22T04:00:00+00:00
73,Code - Interview - Preparation - System Design,0 days 02:00:00.000000000,2020-04-22T04:00:00+00:00
74,Social - Maya,0 days 04:00:00.000000000,2020-10-11T01:00:00+00:00
75,"Social - Mati, Sella",0 days 03:00:00.000000000,2020-03-12T04:00:00+00:00
76,Cleanup - email,0 days 01:00:00.000000000,2020-03-05T05:00:00+00:00
77,ML - Face detection,0 days 03:00:00.000000000,2020-01-10T12:00:00+00:00
78,Cleanup - email,0 days 02:00:00.000000000,2020-03-22T22:00:00+00:00
79,Code - Text2Vid,0 days 02:00:00.000000000,2020-06-19T04:00:00+00:00
80,What to do,0 days 01:00:00.000000000,2020-05-13T04:00:00+00:00
81,Day off,1 days 00:00:00.000000000,2020-06-15T00:00:00+00:00
82,Social - Sivan,0 days 03:00:00.000000000,2020-05-31T19:30:00+00:00
83,Code - Interview - Preparation - System Design,0 days 02:00:00.000000000,2020-03-26T04:00:00+00:00
84,Keystone/Jordan NLP Conversation,0 days 00:45:00.000000000,2020-07-08T22:00:00+00:00
85,Analyze - Police Unjustified Shooting vs. Race,0 days 01:30:00.000000000,2020-05-29T03:30:00+00:00
86,Code - Text2Vid,0 days 03:00:00.000000000,2020-07-03T17:00:00+00:00
87,Code - Problem Solving,0 days 01:00:00.000000000,2020-10-11T17:00:00+00:00
88,Errands - Change address,0 days 03:00:00.000000000,2020-08-04T07:00:00+00:00
89,Social - Javi,0 days 04:00:00.000000000,2020-07-05T23:00:00+00:00
90,Code - Text2Vid,0 days 02:00:00.000000000,2020-06-22T03:00:00+00:00
91,Code - System design,0 days 03:00:00.000000000,2020-02-18T04:00:00+00:00
92,"Social - Mati, Liad - Seder",0 days 04:00:00.000000000,2020-04-09T03:00:00+00:00
93,Cleanup - email,0 days 01:00:00.000000000,2020-04-12T19:00:00+00:00
94,Cancun - Beach,2 days 00:00:00.000000000,2020-11-21T00:00:00+00:00
95,Haircut,0 days 01:00:00.000000000,2020-11-02T00:00:00+00:00
96,Cleanup - email,0 days 01:30:00.000000000,2020-02-13T04:30:00+00:00
97,Plan - Week - System Design,0 days 02:30:00.000000000,2020-02-17T04:30:00+00:00
98,Social - Liad,0 days 03:00:00.000000000,2020-11-02T01:00:00+00:00
99,Code - Problem Solving,0 days 01:00:00.000000000,2020-04-26T18:00:00+00:00
100,Social - Sella - Podcast,0 days 01:00:00.000000000,2020-04-04T05:00:00+00:00
101,Plan - Week,0 days 01:00:00.000000000,2020-11-08T20:00:00+00:00
102,Code - Problem Solving - Leetcode,0 days 03:00:00.000000000,2020-01-26T19:00:00+00:00
103,ML - Course - statistics,0 days 01:00:00.000000000,2020-01-22T05:00:00+00:00
104,Analyze - Flexible withdrawal rate,0 days 01:30:00.000000000,2020-09-13T05:30:00+00:00
105,Flight to London (DL 4421),0 days 05:20:00.000000000,2020-01-13T05:00:00+00:00
106,Cheeps - Elastic Beans,0 days 03:00:00.000000000,2020-04-28T03:00:00+00:00
107,What to do,0 days 01:00:00.000000000,2020-04-30T05:00:00+00:00
108,Hang picture,0 days 01:15:00.000000000,2020-05-14T06:00:00+00:00
109,Code - Text2Vid,0 days 02:00:00.000000000,2020-06-11T04:00:00+00:00
110,Social - Liad - Move,0 days 08:00:00.000000000,2020-06-27T19:00:00+00:00
111,Social - Mati,0 days 02:30:00.000000000,2020-03-08T05:30:00+00:00
112,Cleanup - bathroom,0 days 01:00:00.000000000,2020-05-02T01:30:00+00:00
113,Check account,0 days 01:00:00.000000000,2020-07-02T05:00:00+00:00
114,Analyze - Free Will,0 days 03:00:00.000000000,2020-05-02T23:00:00+00:00
115,Shiran,0 days 02:00:00.000000000,2020-03-28T17:00:00+00:00
116,Social - Mati,0 days 03:00:00.000000000,2020-06-28T04:00:00+00:00
117,Social - Mati,0 days 02:30:00.000000000,2020-06-06T03:30:00+00:00
118,Shiran - Lake,0 days 04:30:00.000000000,2020-06-28T21:30:00+00:00
119,Code - Text2Vid,0 days 02:30:00.000000000,2020-05-27T04:00:00+00:00
120,E*TRADE for Shiran,0 days 01:00:00.000000000,2020-05-03T22:00:00+00:00
121,Cleanup - computer,0 days 01:00:00.000000000,2020-04-05T19:30:00+00:00
122,Learn - Power and Politics,0 days 02:00:00.000000000,2020-10-08T03:00:00+00:00
123,Plan - Week,0 days 01:00:00.000000000,2020-04-11T05:00:00+00:00
124,Cleanup - email,0 days 02:00:00.000000000,2020-01-20T21:00:00+00:00
125,"Social - Meils, Javier, JP",0 days 03:30:00.000000000,2020-01-25T04:30:00+00:00
126,Postnup,0 days 01:00:00.000000000,2020-11-11T04:00:00+00:00
127,Code - Text2Vid,0 days 03:00:00.000000000,2020-06-24T03:00:00+00:00
128,Social - Mati,0 days 03:00:00.000000000,2020-03-03T05:00:00+00:00
129,Socail - Mushroom ceremony - Riccardo,0 days 17:00:00.000000000,2020-03-15T01:00:00+00:00
130,Startup - YC - Group session,0 days 01:00:00.000000000,2020-03-06T03:00:00+00:00
131,Real Estate - Paint,0 days 01:00:00.000000000,2020-12-01T04:00:00+00:00
132,Real Estate - Talk to Hemlane regarding complaint about tenants,0 days 01:00:00.000000000,2020-03-10T04:00:00+00:00
133,Code - Interview - C++,0 days 01:30:00.000000000,2020-05-04T04:30:00+00:00
134,Code - Problem Solving,0 days 01:00:00.000000000,2020-11-14T17:00:00+00:00
135,Learn - Power and Politics,0 days 02:00:00.000000000,2020-10-14T03:00:00+00:00
136,Learn - Power and Politics,0 days 01:00:00.000000000,2020-10-09T03:00:00+00:00
137,"Social - Maya, Gal - Park",0 days 05:00:00.000000000,2020-05-10T20:00:00+00:00
138,Social - Daniel - Wedding,0 days 04:00:00.000000000,2020-01-02T18:00:00+00:00
139,Code - Text2Vid,0 days 02:00:00.000000000,2020-06-07T03:00:00+00:00
140,Code - Problem Solving,0 days 01:00:00.000000000,2020-03-29T18:00:00+00:00
141,יום חופש,1 days 00:00:00.000000000,2020-11-15T00:00:00+00:00
142,Family - Bbq,0 days 03:00:00.000000000,2020-08-01T09:00:00+00:00
143,Social - Gilad Shamri,0 days 07:00:00.000000000,2020-10-31T22:00:00+00:00
144,Code - Text2Vid,0 days 02:00:00.000000000,2020-06-05T04:00:00+00:00
145,Analyze - previous year investments,0 days 05:00:00.000000000,2020-01-02T11:00:00+00:00
146,Social - Gilad Shamri,0 days 02:00:00.000000000,2020-02-22T06:00:00+00:00
147,Cleanup - email,0 days 01:00:00.000000000,2020-05-17T17:00:00+00:00
148,Cleanup - email,0 days 01:00:00.000000000,2020-06-16T04:00:00+00:00
149,Code - Interview - Preparation - System Design,0 days 02:00:00.000000000,2020-04-24T04:00:00+00:00
150,Social - Mati,0 days 05:00:00.000000000,2020-05-17T21:00:00+00:00
151,Code - Problem Solving,0 days 01:00:00.000000000,2020-08-16T17:00:00+00:00
152,Trip - Lunch + Park presidio,0 days 05:00:00.000000000,2020-01-18T20:00:00+00:00
153,Code - Problem Solving,0 days 01:00:00.000000000,2020-09-27T17:00:00+00:00
154,Social - Monica,0 days 04:00:00.000000000,2020-12-12T20:00:00+00:00
155,Code - Text2Vid,0 days 02:30:00.000000000,2020-05-28T04:00:00+00:00
156,Social - Sivan,0 days 03:00:00.000000000,2020-02-29T05:00:00+00:00
157,Cancun - Tulum,2 days 00:00:00.000000000,2020-11-25T00:00:00+00:00
158,Social - Kristian,0 days 04:00:00.000000000,2020-07-11T20:00:00+00:00
159,Analyze - GDP vs Income,0 days 03:00:00.000000000,2020-12-13T05:00:00+00:00
160,Plan - Week,0 days 01:00:00.000000000,2020-06-25T05:00:00+00:00
161,Social - Liad,0 days 03:00:00.000000000,2020-03-28T02:30:00+00:00
162,Code - Text2Vid,0 days 02:00:00.000000000,2020-06-12T03:00:00+00:00
163,Talk to mint - Optum bank,0 days 00:30:00.000000000,2020-02-04T01:00:00+00:00
164,ML - Face detection,0 days 02:00:00.000000000,2020-01-19T18:00:00+00:00
165,Plan - Week,0 days 01:00:00.000000000,2020-10-05T04:00:00+00:00
166,Startup founders breakfast ,0 days 02:00:00.000000000,2020-02-20T16:30:00+00:00
167,Cleanup - email,0 days 01:00:00.000000000,2020-05-03T19:00:00+00:00
168,Cleanup - bathroom,0 days 01:00:00.000000000,2020-12-02T05:00:00+00:00
169,Shiran - Beach,0 days 03:00:00.000000000,2020-08-03T07:00:00+00:00
170,Social - Isaac,0 days 05:00:00.000000000,2020-10-04T20:00:00+00:00
171,Code - Text2Vid,0 days 01:30:00.000000000,2020-05-29T05:00:00+00:00
172,"Social - Eyal, Daniel",0 days 03:00:00.000000000,2020-07-24T09:00:00+00:00
173,Plan - Mexico,0 days 03:00:00.000000000,2020-10-12T03:00:00+00:00
174,Analyze - Civilian casualties ratio,0 days 01:00:00.000000000,2020-02-13T06:00:00+00:00
175,Cleanup - email,0 days 01:00:00.000000000,2020-09-20T18:00:00+00:00
176,Find chat,0 days 01:00:00.000000000,2020-07-07T05:00:00+00:00
177,Code - Interview - Preparation - System Design,0 days 01:00:00.000000000,2020-04-25T04:00:00+00:00
178,Social - Mati - BBQ,0 days 03:30:00.000000000,2020-07-05T03:30:00+00:00
179,ML - Deepmoney - Training on sample,0 days 03:00:00.000000000,2020-04-15T03:00:00+00:00
180,Learn - Power and Politics,0 days 01:00:00.000000000,2020-10-16T00:00:00+00:00
181,Cleanup - bathroom,0 days 01:00:00.000000000,2020-06-02T04:00:00+00:00
182,Ashley ,0 days 01:00:00.000000000,2020-12-01T06:00:00+00:00
183,Code - Problem Solving,0 days 01:00:00.000000000,2020-11-01T18:00:00+00:00
184,Check account,0 days 01:00:00.000000000,2020-06-02T03:00:00+00:00
185,Analyze - Inequality in America,0 days 02:00:00.000000000,2020-11-09T04:00:00+00:00
